,Hindi,roman
774,मन्द-मन्द बहती हुई वायु शरीर की सारी थकान मिटाने लगी।,Mand-mand bahati hui vay sharir ki sari thakan mitane lagi.
775,"जन्म सम्बन्धी वृतांत में चन्देलों का कलिं में रहना, प्रथम प्रतापी शासक बनना भी शामिल हैं।","janm sambandhi vrutant men chandelon ka kalin men rahana, pratham pratapi shasak banana bhi shamil hain."
776,"उधर रामांनद जी भी प्रायः भक्तों से कहते थे कि असली नट तो अब आएगा, मैं तो उसके आगमन से पूर्व डुगडुगी बजा रहा हूं।","udhar Ramanand ji bhi prayah bhakton se kahte the ki asli nat to ab ayega, main to uske agman se purva dugdugi baja raha hun."
777,"हालांकि, पारंपरिक लेखक ऑरिक्सों और इकसिंगों में स्पष्ट रूप से अंतर स्थापित कर लेते हैं।","halanki, paramparik lekhak Orikson aur iksinghon nain spasht roop se antar sthapit kar lete hai."
778,"इस प्रकार खड़ी बोली की उत्पत्ति शौरसेनी अपभ्रंश से मानी जाती है, यद्यपि इस अपभ्रंश का विकास साहित्यक रूप में नहीं पाया जाता।","is prakar khadi boli ki utpatti shaurseni apbhransh se mani jati hai, yadyapi is apbhram ka vikas sahityak roop men nahin paya jata."
779,यदि किसी समाज में आदर्श शासक प्रतिष्ठित हो जाए तो वहाँ की जनता भी आदर्श जनता बन सकती है।,yadi kisi samaaj men aadarsh shasak pratishtit ho jaye to wahan ki janta bhi aadarsh janta ban sakti hai.
780,पाकिटमार रंगमंडल,packetmaar rangmandal
781,फ़ाइटर टोड्स राज कॉमिक्स के द्वारा प्रकशित हिन्दी कॉमिक्स श्रुंखला फ़ाइटर टोड्स का प्रमुख पात्र है।,Fighter Toys Raj Comics ke dwara prakashit Hindi Comics Shrunkhala Fighter Toys ka pramukh patra hai.
782,गोविन्द नामदेव,Govind Naamdev
783,धूप के संपर्क में होने वाली कमी को भी एम्एस के एक उच्च जोखिम के साथ जोड़ा गया है।,dhup ke sampark me hone vali kami ko bhi MS ke ek ucch zokhim ke sath joda gaya hai.
784,पर न तो कभी पकड़े गये और न ही क्रांतिकारी कार्यो को करने से अपना पैर पीछे खीचा।,par n to kabhi pakde gaye aur n hi Krantikari karyon ko karne se apna par pichhe khicha.
785,जैन धर्म में भगवान,Jain dharma men Bhagwan
786,"सामन्यतया किसी भी स्टेशन पर प्लेटफार्मों को अंको (१,२,३ आदि) से नामित किया जाता है।","samanyataya kisi bhi station par platfarmo ko anko (1,2,3 adi) se namit kiya jata hai."
787,"1984 के चुनाव के दौरान अभियान भाषण में, राष्ट्रपति रोनाल्ड रीगन ने कहा कि ""यदि बड़े व्ययकर्ताओं को सही राह मिल गई, तो वे आपके करदाता के एक्सप्रेस कार्ड के लिए कुछ भी लागत वसुल सकते हैं और मेरा विश्वास करें, वे इसके बिना घर से बाहर नहीं जाएंगे.""","1984 ke chunav ke dauran abhiyan bhashan me, rashtrapati ronald regan ne kaha ki ""yadi bade vyayakartao ko sahi raah mila gai, to ve aapke kardata ke express card ke lie kuch bhi lagat vasul sakte hai aur mera vishvas kare, ve iske bina ghar se bahar nahi jaenge."""
788,साधारण रूप से निष्क्रिय गैसें और उत्कृष्ट गैसें किसी रासायनिक प्रतिक्रिया का भाग नहीं बनती।,Sadharan rup se nishkriy gaison aur utkrusht gason kisi rasayanik pratikriya ka bhaag nahi banti.
789,मोर की सामान्यतः छह प्रकार के अलार्म की आवाज के अलावा करीब सात किस्म की आवाज अलग अलग लिंगों द्वारा निकाली गई आवाज को पहचाना जा चुका है।,Mor ki samnyatah chhah prakar ke alarm ki awaz ke alava karib saath kism ko awaz alag alag lingo dwara nikali gai awaz ko pahchana ja chuka hai.
790,"ऐसे सभी डायोड अपने ब्रेकडाउन वोल्टेज की परवाह न करते हुए, सामान्य रूप से जेनर डायोड के नाम के अंतर्गत विपणन किये जाते हैं।","aise sabhi daayod apne brekdaaun voltej ki parvaah na karte huye, samanya roop se jenar daayod ke naam ke antargat vipnan kiye jaate hain."
791,"उसने अंततः इस आवश्यकता को वापस ले लिया, लेकिन तभी जब एक प्रशिक्षु ने एक मुकदमा दायर किया।","Usne antatah is avashyakta ko vapas le liya, lekin tabhi jab ek prashikshu ne ek mukadma dayar kiya."
792,यहाँ भगवान राम उनकी पत्नी सीता और मजला भाइ लक्शमन के साथ वनवास के वक्त् रहते थे।,yaha bhagavan ram unki patni sita aur majla bhai lakshman ke sath vanvas ke waqt rehte the.
793,"इनमें मनुष्य, चिम्पान्ज़ी, गोरिल्ला और ओरन्गउटान के वंश (या जॅनॅरा) आते हैं।","inmein manushya, chimpanzee, gorilla aur organutan ke vansh (ya general) aate hain."
794,"वड़ा मसले गये आलू (मराठी मे ""बटाटा"") पर बेसन की परत चढ़ाकर और तल कर बनाया जाता है।","vada masle gaye aalu (marathi me ""batata"") par besan ki parat chadhakar aur tal kar banaya jata hai."
795,बेयरूत से ८५ किमी उत्तर में स्थित यह शहर लेबनान के उत्तर प्रान्त की राजधानी भी है।,beyarut se 85 km uttar me sthit yeh shehar lebnan ke uttar prant ki rajdhani bhi hai.
796,एक साल बाद जेतपुर में उन्होंने सहजानंद को अपने सम्प्रदाय का आचार्य पद भी दे दिया।,ek saal baad jetpur me unhone sahajanand ko apne sampraday ka acharya pad bhi de diya.
797,कंपनी और बैंड के बीच संवाद लगभग न के बराबर था और इसलिए टॉवर और कैपिटल के साथ पिंक फ़्लॉइड का रिश्ता कमज़ोर था।,Company aur band ke bich sanvad lagbhag na ke barabar tha aur isliye tower aur capital ke sath pink floyd ka rishta kamzor tha.
798,ग्रैंड ओसियन सुइट,Grand Ocean Suite
799,सिंह,Singh
800,"वह सेवार्थी के जीवन के प्रत्येक पहलू तथा उसके पर्यावरण में क्रियाशील, प्रत्येक सामाजिक स्थिति से अवगत रहता है क्योंकि सेवा प्रदान करने की योजना बताते समय वह इनकी उपेक्षा नहीं कर सकता।","wah sevarthi ke jeevan ke pratyek pahlu tatha uske Paryavaran men kriyashil, pratyek samajik sthiti se avgat rahta hai kyonki seva pradhan karne ki yojna batate samay wah inki Upeksha nahin kar sakta."
801,"इसका आयुध त्रिशूल है, तथा इसके हाथ में मत्स्य भी रहता है।","Iska aayudh trishul hai, tahe sike haath men matsy bhi rahat hai."
802,"अन्य डोमिनियन ने न्यूज़ीलैंड, ब्रिटिश राष्ट्रीयता और न्यूज़ीलैंड नागरिकता अधिनियम 1948 में इस सिद्धांत को अपनाया.","anya dominian ne newzealand, british rashtriyta aur newzealand nagarikta adhiniyam 1948 me is siddhant ko apnaya."
803,श्री रामचन्द्र जी की बात सुनकर लक्ष्मण बोले प्रभु आपसे तो कोई भी बात छिपी नहीं है आप स्वयं सर्वसामर्थवान है फिर भी मैं कहूंगा कि यहां से आधा योजन दूर परम ज्ञानी वकदाल्भ्य मुनि का निवास हैं हमें उनसे ही इसका हल पूछना चाहिए।,shri Ramchandra jee ki baat sunkar Laxman bole prabhu aapse to koi bhi baat chipi nahi hai aap sway sarvsamarthwan hai fhir bhi main kahunga ki yahaan se aadha yojan dur param dnyani Vakadalbhya muni ka niwas hain hamhen unse hi iska hal puchana chahiye.
804,"अंग्रेजों के लिए स्थायी कॄषि का विस्तार आवश्यक था क्योंकि उससे राजस्व के स्रोंतों में वृद्धि हो सकती थी, निर्यात के लिए फ़सल पैदा हो सकती थी और एक स्थायी, सुव्यवस्थित समाज की स्थापना हो सकती थी।","angrejon ke liye sthaayi krisi ka vistaar aavshyak tha kyonki usse raajasv ke sronton mein vriddhi ho sakti thi, niryaat ke liye fasal paidaa ho sakti thi aur ek sthaayi, suvyavsthit samaaj ki sthaapanaa ho sakti thi."
805,उनकी फांस और गलत नम्बर जैसी कहानियाँ दूरदर्शन पर प्रस्तुत की गई हैं।,Unki fans aur galat number jaisi kahaniyan doordarshan par prastut ki gai hain.
806,कोई भी इलाज एम्एस के प्राथमिक रूप से तेजी से फैलने की अवधि में सुधार करने योग्य सिद्ध नहीं हुआ है।,koi bhi ilaaj MS ke prathamik roop se teji se failane ki avadhi men sudhar karne yogy siddh nahin huaa hai.
808,यहाँ पर नमक का व्यापार होता है जो साँभर झील से लाया जाता है।,yahaan par namak ka vyaapaar hota hai jo Sambhar jheel se laaya jaata hai.
809,शिनॉय नगर पश्चिमी चेन्नई का एक क्षेत्र है।,Shinoy Nagar Pashchimi Chennai ka ek shetra hai.
810,"शर्मा, इंद्रकुमार (1972) तसवीर का ख़ाका डे ला एकोलोगिकुए प्रजनन डे ला पों (पावो क्रिस्टेटस).","Sharma, Indrakumaar (1972) tasveer ka khaka de la Yekologikaye prajnan de la pon (Pawo Kristets)."
811,विशाखापट्‌नम- गुंटूर प्रदेश,Visakhapatnam- Guntur Pradesh
812,"अब चिकित्सक का कर्त्तव्य होता है कि वह रोगी के प्रेम के आवेग को उसके उचित पात्र पर मोड़ दे, अथवा उसका उपयोग किसी रचनात्मक कार्य में कराए।","ab chikitsak ka kartavya hota hai ki veh rogi ke prem ke aaveg ko uske uchit patr par mod de, athva uska upyog kisi rachnatamak karya mein karae."
813,एक दिन विक्रमादित्य नदी के तट पर बने हुए अपने महल से प्राकृतिक सौन्दर्य को निहार रहे थे।,ek din Vikrmaditya nadi ke tat par bane hye apne mahal se prakritik saundary ko nihar rahe the.
814,यह 20वीं शताब्दी की एक विशेष देन का परिणाम है।,yah 20win shatabdi ki ek vishesh den ka parinaam hai.
815,"उनकी तीन बहनें हैं, जिनमें अभिनेत्री नूतन और एक भाई शामिल हैं।","unki teen behne hai, jinme abhinetri nutan aur ek bhai shamil hai."
816,"एक चिर-परिचित समूह, पूर्णांकों Z का समुच्चय जिसमें संख्याएं","ek chir-parichit samuh, purnakon Z ka samucchay jismen sankhyayen"
817,घृतकुमारी - स्वास्थ्य और स्वास्थ्य उत्पादों में इस्तेमाल होता है,Ghrutkumari - swasthy aur swasthy utpadon men istemaal hota hain
818,"गिल्मर ने भी अपनी झुंझलाहट व्यक्त की, यह शिकायत करते हुए कि राइट के दिशा निर्देशन का अभाव ""हमें पागल कर रहा था"".","Gilmar ne apni jhunjhulahat vyakt ki, yah shikayat karte huye ki right ke Disha nirdeshan ka abhav ""Hamen pagal kar raha tha"" ."
819,नई कविता सामाजिक यथार्थ तथा उसमें व्यक्ति की भूमिका को परखने का प्रयास करती है।,nai kavita samajik yatharth tatha usmen vyakti ki bhumika ko parkhane ka prayas karti hai.
820,"""हमने 'शूट एसिड' नामक एक नई पहल शुरू की है।",hmne 'Shoot Acid' naamak ek neyi pahal shuru ki hai.
821,"वंशीवटमाधुरी, केलिमाधुरी, उत्कंठामाधुरी, वृंदावनमाधुरी, दानमाधुरी, मानमाधुरी, होरी माधुरी, प्रिया जी की बधाई आदि इनकी छोटी-छोटी रचनाएँ हैं, जिनका एक संग्रह 'माधुरी वाणी' नाम से प्रकाशित हो चुका है।","Vanshivatmadhuri, Kelimadhuri, Utkanthamadhuri, Vrundavanmadhuri, Danmadhuri, Maanmadhuri, Hori Madhuri, Priya jee ki badhai aadi inki chhoti-chhoti rachanayen hain, jinka ek sangrah 'Madhuri Wani' naam se prakashit ho chuka hai."
822,"बाह्य द्रव्य का जो प्रत्यय हम बनाते हैं, वह स्पष्ट नहीं होता।","bahya dravya ka jo pratyay ham banaate hain, vah spashta nahi hota."
823,"चार्ल्स डार्विन ने आसा ग्रे को लिखा है कि "" जब भी मैं मोर के पंखों को टकटकी लगा कर देखता हूं, यह मुझे बीमार बनाता है !""","Charles Darvin ne Aasa Gre ko likha hai ki "" jab bhi main mor ke pankhon ko taktaki laga kar dekhata hun, yah mujhe bimaar banata hai !"""
824,वह खुद अम्बावती को नई राजधानी बनवाकर शासन करने लगा।,wah Khud Ambawati ko nai rajdhani banwakar shashan karne laga.
825,सफ़्फ़ारियों ने ज़रंज शहर को अपनी राजधानी बनाया जो आधुनिक अफ़ग़ानिस्तान के दक्षिण-पश्चिम में स्थित नीमरूज़ प्रान्त में है।,Saffariyon ne Jaranj Shahar ko apni rajdhani banaya jo adhunik Afghanistan ke Dakshin-Paschim men sthit Neemruj prant men hai.
826,"सौजन्य- आलोक कुमार सिंह च्हवान, ग्राम- अगवानपुर, थाना-बाढ, जिला-पटना, बिहार","saujanya- alok kumar singh chauhan, gram- agavanapur, thana-badh, zila-patna, bihar"
827,"कुछ लक्षणों, जैसे कि अस्थिर मूत्राशय और संस्तम्भता (spasticity), में औषधि के साथ एक अच्छी प्रतिक्रिया होती है, जबकि कई दूसरों का प्रबंधन और अधिक जटिल होता है।","kuchh lakshano, jaise ki asthir mutrashay aur sanstmbhta (spasticity), mein aushadhi ke saath ek achchhi pratikriya hoti hai, jabki keyi dusron ka prabandhan aur adhik jatil hota hai."
828,कनाडा के क्यूबेक शहर की मस्जिद में हमलावरो ने अंधाधुंध की थी जिसमें चार लोगो मौके पर ही मौत हो गयी थी,Canda ke Qubec shahar kii masjit men hamlavaron ne andhadhun kii thii jismen char logon mauke pr hi maut ho gai thee.
829,इस प्रथा पर सर्वप्रथम अप्रैल १९५३ ईस्वी में मेवाड़ में महाराणा स्वरुप सिंह के समय में खेरवाड़ा (उदयपुर) में इसे गैर कानूनी घोषित कर दिया था।,is pratha par sarvapratham april 1953 isvi me mevar me maharana svarup singh ke samay me khervara (udaypur) me ise gair kanuni ghoshit kar diya tha.
830,"उनका कहना था कि "" जो उचित है उसे करते जाना उनका काम है। सफाई देना और नाम कमाना उनका काम नही है। ""","unka kehna tha ki "" jo uchit hai use karte jana unka kaam hai. safai dena aur nam kamana unka kaam nahi hai. """
831,आधुनिक युग में हिन्दी के आचार्य रामचंद्र शुक्ल ने मुक्तक पर विचार किया. उनके अनुसार:,aadhunik yug me hindi ke acharya ramachandra shukl ne muktak par vichar kiya. unke anusar:
832,इस सिद्धांत के अनुसार सत्यता अस्तित्व में कोई अंतर नहीं है।,is siddhant ka anusaar satyata astitva mein koi antar nahi hai.
833,मास्टर जी 1985 में बनी हिन्दी भाषा की फ़िल्म है।,Mastar ji 1985 mein bani hindi bhasa ki film hai.
834,मराठी चलचित्र उद्योग भी मुंबई में ही स्थित है।,Marathi Chalchitra udyog bhi Mumbai men hi sthit hai.
835,"सिर में कंधी करने, या बुरुश से झाड़ने से भी सिर की मालिश हो जाती है।","sir me kandhi karne, ya burush se jhadne se bhi sir ki malish ho jati hai."
836,बुंदेलखंड का राजविद्रोह वास्तव में जनता का विद्रोह न होकर सामन्तों और सेना का विद्रोह था इसी पृष्ठभूमि में सांस्कृतिक और धार्मिक भावना के साथ साथ स्वामिभक्ति का पुट विशेष है।,Bundelkhand ka rajvidroh vastav men janta ka vidroh n hokar samantton aur sena ka vidroh tha isi prushtbhumi men sanskrutik aur dharmik bhavna ke sath sath Swamibhakti ka put vishesh hai.
837,दारा सिंह,Dara Singh
838,तक गरम किया जाता है।,tak garm kya jaata hai.
839,झूम खेती नयी-से-नयी जमीनें खोजने और भूमि की प्राकॄतिक उर्वरता का उपयोग करने की क्षमता पर निर्भर रहती है।,jhum kheti nayi-se-nayi jaminen khojane aur bhumi ki prakritik urvartaa kaa upyoga karne ki kshamtaa par nirbhar rahti hai.
840,फिर उन्होंने अपने शिष्यों को बुलाकर आज्ञा दी कि वशिष्ठ के पुत्रों सहित वन में रहने वाले सब ऋषि-मुनियों को यज्ञ में सम्मिलित होने के लिये निमन्त्रण दे आओ।,Fir unhone apne shishyon ko bulakar agyan di ki vashishth ke putron sahit van men rahne wale sab rishi-nunion ko yagya men sammilit hone ke liye ninamtran de aao.
841,उसका जन्म ठीक उसके पिता की मृ्त्यु के बाद हुआ था।,uska janm thik uske pita ki mrityu ke baad hua tha.
842,सन्दर्भों तथा फीचर के नमूने लेने की एक रणनीति बनायीं जाती है जिसमें प्रत्येक फीचर के पूर्ण उत्खनन अथवा आंशिक उत्खनन के विषय में निर्णय लिया जाता है।,sandarbhon tatha fichar ke namune lene ki ek rananiti banaayin jaati hai jismen pratyek fichar ke purn utkhanan athva aanshik utkhanan ke vishay mein nirnay liya jata hai.
843,आपके योग प्रेम एवं प्रकृति प्रेम के फलस्वरुप ही भिवानी में प्राकृतिक चिकित्सालय की स्थापना हुई।,apke yog prem evam prakriti prem ke falsvarup hi bhivani me prakritik chikitsalaya ki sthapna hui.
844,में विजय प्राप्त हुई और साम्राज्य के केंद्र को रोमन देकिया के प्रान्त में रूपान्तरित कर दिया गया।,men vijay prapt hui aur samrajya ke kendra ko Roman Dekiya ke prant men rupantarit kar diya gaya.
845,इन कुंडों को पहाड़ी के पत्थरों को काटकर बनाया गया था।,in kundo ko pahadi ke pattharon ko katkar banaya gaya tha.
846,दिव्या राणा,Divya Rana
847,"आप हिंदी रंगमंच के बारे में क्‍या सोचते हैं, कृपया बताएं","Aap Hindi rngmanch ke bare men kya sochte hain, krupaya batayen"
848,पीडब्लूडी (PWD) के बाल लगातार बढ़ते जाते हैं और उनकी नियमित सफाई तथा कटाई-छंटाई की जरूरत पड़ा करती है।,PWD (PWD) ke bal lagatar badhte jate hai aur unki niyamit safai tatha katai-chantai ki jarurat pada karti hai.
849,यह किसी अन्य तारा समूह के साथ नहीं होता है इसलिये यह १२ महत्वपूर्ण हो गये हैं।,yah kisi an'ya tara samuh ke sath nahi hota hai isliye yah 12 mahatvapurn ho gaye hai.
850,"कुछ शोधकर्ताओं और लेखकों ने अपनी किताबों में जीवनी और तारनेह जावानबखत के कामों को प्रकाशित किया, जो ईरान और संयुक्त राज्य में प्रकाशित हुए थे।","kuch shodhakartao aur lekhako ne apni kitabo me jivani aur taraneh javanabakht ke kamo ko prakashit kiya, jo iran aur sanyukta rajya me prakashit hue the."
851,इसके बाद उन्हें सर्वश्रेष्ठ पार्श्वगायिका जैसे अनेक पुरस्कारों से सम्मानित किया गया।,iske baad unhen sarvshresht parshwgaayik jaise anke purskaaron se sammanit kiya gaya.
852,तो इसमें बुराई क्या है?,to ismein buraai kya hai?
853,इस प्रांगजलीय का निर्माण ग्लूकोज तथा फलशर्करा के एक-एक अणु से मिलकर हुआ है।,is prangajaliya ka nirman glucose tatha falsharkra ke ek-ek anu se milkar hua hai.
854,वट्टेऴुत्तु जैसे व्यापक शब्द का प्रयोग जॉर्ज कोईड्स व डीजीई हॉल जैसे दक्षिणपूर्व एशिया अध्ययन करने वाले विद्वानों ने किया है।,vatteluttu jaise vyapak shabd ka prayog george koids va dgi hole jaise dakshinpurva asia adhyayan karne vale vidvano ne kiya hai.
855,सरकारें बदलती गई और इस जिले का विकास भी होता गया।,sarkaron badlati gai aur is jile ka vikas bhi hota gaya.
856,हिंदी में जीवनी साहित्य का यह पहला ग्रंथ है।,Hindi men jivani sahity ka yah pahla granth hai.
857,"रॉयल ब्रुनेई एयरलाइंस, को 2011 के सबा पर्यटन पुरस्कार के सर्वश्रेष्ठ एयरलाइंस के लिए पुरस्कार” श्रेणी में' सर्वश्रेष्ठ विदेशी एयरलाइन' के सम्मान से सम्मानित किया गया था।","Royal Brunei Airlines, ko 2011 ke Saba paryatan Purskar ke sarvshresht Airlines ke liye Purskar"" shreni men' srvshresht Videshi Airlines' ke samman se sammanit kiya gaya tha."
858,इनके बहुत सारे प्रसिद्ध पीडब्ल्यूडी (PWD) में से दो च.,inke bahut saare prasiddh PWD (PWD) mein se do ch.
859,"यूरोपियन बिज़नेस प्रेस फेडरेशन द्वारा कंपनी को उसकी अर्थनीति व वित्त-व्यवस्था, कुशल नीतिपूर्ण दूर- दृष्टि और उत्कृष्ट व्यवस्थापन के लिए 'यूरोपियन कंपनी ऑफ़ दि इयर' का खिताब भी दिया गया।","European Business press foundation dwar company ko uski arthniti va vitt vyavastha, kushal nitipurn dur-drushti aur utkrusht vyvasthapan ke liye 'European Company of the year' ka khitab bhi diya gaya."
860,नवजात शिशु गंध और स्वाद वरीयताओ के साथ जन्म लेता है।,navjat shishu gandh aur swad variyatao ke sath janm leta hai.
861,ज्ञात से अज्ञात की ओर कार्य करें .,gyat se agyat ki aur kary kare .
862,"इसमें सभी वर्ग, सभी धर्म, युवा, महिला, बुद्धिजीवी सभी का समान भागीदारी है।","isme sabhi varg, sabhi dharm, yuva, mahila, bud'dhijivi sabhi ka saman bhagidari hai."
863,गोबिंदगढ़ किला एक ऐतिहासिक सैन्य किला हैं भारतीय राज्य पंजाब के अमृतसर शहर के बीच में स्थित है।,Gobindgarh kila ek aitihasik sainya kila hai bhartiya rajya Punjab ke Amritsar shahar ke bich mein sthit hai.
864,कारण और प्रभाव विश्लेषण के रूप में छात्रों को अपने विचारों को व्यवस्थित करने में मदद करता है।,karan aur prabhav vishleshan ke roop men chhatron ko apne vicharon ko vyavsthit karne men madad karta hai.
865,"बाल कोमल से लेकर रुखड़ा, कड़ा (जैसे सूअर का) और नुकीला तक (जैसे साही का) होता है।","baal komal se lekar rukhda, kada (jaise suar ka) aur nukila tak (jaise sahi ka) hota hai."
866,बारबेक्यू सॉस,Barbecue sauce
867,पंडित नैन सिंह पर किताब लिख चुके और उन पर शोध कर रहे रिटार्यड आईएएस अधिकारी एसएस पांगती बताते है कि अंग्रेज अफसर तिब्बत को जान पाने में नाकाम हो गए थे.,pandit nain singh par kitab likh chuke aur un par shodh kar rahe retired IAS adhikari SS pangati batate hai ki angrej afsar tibbat ko jan paane me nakam ho gae the.
868,1962 उत्तर प्रदेश विधान सभा चुनाव में इन्होंने उत्तर प्रदेश के पीलीभीत जिले के 58 - पीलीभीत विधान सभा निर्वाचन क्षेत्र से कांग्रेस की ओर से चुनाव में भाग लिया।,1962 Uttar Pradesh Vidhan Sabha chunav men inhone Uttar Pradesh ki Pilibhit zille ke 58 - Pilibhit Vidhan Sabha nirvachan Kshetra se Congress ki or se chunav men bhaag liya.
869,सन्‌ 1856 में हेनरी बेसेमर ने इस्पात उत्पादन की विधियों में क्रांतिकारी परिवर्तन किया।,san 1856 mein Henry Bessemer ne ispaat utpaadan ki vidhiyon mein kraantikaari parivartan kiya.
870,गगन सेठी,Gagan Sethi
871,"नर्दन ब्लॉट एक प्रणाली है जो आणविक जीवविज्ञान में, आरएनए के नमूनों से आरएनए अनुक्रम का पता लगाने के लिये इस्तेमाल किया जाता है।","Northen blot ek pranaali hai jo aanvik jivvgyaan mein, RNA ke namunon se RNA anukrma ka pataa lagane ke liye istemaal kiya jata hai."
872,प्राकृतिक आपदा आने पर वे बिना भेदभाव के सबकी सहायता करते थे।,prakritik aapda aane par ve bina bhedbhav ke sabki sahayata karte the.
873,इसका कारण यह था कि ये असीरी राजाओं को शत्रुओं पर विजय दिलानेवाले युद्धदेवता के रूप में प्रतिष्ठित हुए और क्रमश: विजयी असीरी राजाओं की विजय के साथ इनका देशव्यापी प्रभुत्व तथा लोकप्रियता स्थापित हो गई।,iska karan yeh tha ki ye asiri rajao ko shatruo par vijay dilanevale yuddhdevta ke rup me pratisthit hue aur kramasa: vijayi asiri rajao ki vijay ke sath inka deshvyapi prabhutv tatha lokapriyata sthapit ho gai.
874,चीकू,Chikoo
875,फिल्म के अंत में बारबोसा एक बार फिर से ब्लैक पर्ल और फेंग के चार्ट्स को अपने कब्जे में कर लेता है और स्पैरो एवं मिस्टर गिब्स को टोर्टुगा में असहाय कर छोड़ देता है।,film ke anta mein Barbosaa ek baar fir se Black Pearl aur Feng ke charts ko apne kabje mein kar letaa hai aur Sparrow evam Mister gibs ko tortuga mein asahay kar chhod detaa hai.
876,"इसमें न तो कहनी जैसी एकसूत्रता, सघन बुनावट और प्रभावान्विति होती है और न ही उपन्यास जैसा फैलाव तथा निरूपण वैविध्य।","Ismen n to kahni jaise eksutrata, saghan bunavat aur prabhavanviti hoti hai aur n hi upanyas jaisa failab tatha nirupan vaividhya."
877,1982 में पुमोरी पर चढ़ने वाले एक समूह ने एवरेस्ट के आस पास एक स्की-हाइक भी किया।,1982 mein Pumori par chadhane wale ek samuh ne Everest ke aas paas ek ski-hike bhi kiya.
878,"""यह निर्णय संरचनात्मक मुद्दों की प्रतिक्रिया और बाजार के रुझान द्वारा त्वरित और एक प्रतिबिंब अत्यधिक मूल्यवान काम पिछले कुछ वर्षों में हमारे जएन्स्विले के कर्मचारियों द्वारा प्रदर्शन किया पर कोई रास्ता नहीं में है।""","yeh nirnay sanrachnaatamak muddon ki pratikriyaa aur baajaar ke rujhaan dvaaraa tvarit aur ek pratibimb atyadhik mulyavaan kaam pichhle kuch varshon mein hamaare jensvile ke karmchaariyon dvara pradarshan kiyaa par koi rasta nahi mein hai."""
879,विमान उड़ान नियंत्रण प्रणाली,viman udan niyantran pranali
880,एनडीटीवी इंडिया,NDTV india
881,तिब्बती और तान्गूत लोग इस साम्राज्य को मिन्याक साम्राज्य (Mi-nyak) बुलाते थे।,tibbati aur tanguta log is samrajya ko minyak samrajya (Mi-nyak) bulate the.
882,ये तेजी से मित्र बनाते हैं और लम्‍बे समय तक उसे निभाते भी हैं।,ye teji se mitra banate hai aur lambe samay tak use nibhate bhi hai.
883,भारतीय दर्शन में चार्वाक ने ही बिना धर्म और ईश्वर के सुख की कल्पना की।,Bharatiy darshan men chaarvaak ne hi bina dharm aur ishwar ke sukh ki kalpana ki.
884,सामान्य बालक और मंदबुद्धि बालक का विभेद करने के लिये किसी ठीक ठीक माध्यम के निर्माण में इन लोगों की प्रधान रुचि थी।,samaany balak aur manddbuddhi balak ka vibhed karne ke liye kisi theek theek madhyam ke nirman men in logon kii pradhan ruchi thee.
885,"जब जोन्स विल को प्राणघातक तरीके से घायल कर देता है, स्पैरो इसकी बजाय दिल पर वार करने में विल की मदद करता है, इस तरह जोन्स को मार देता है और विल को फ़लाइंग डचमैन का नया कप्तान बना देता है।","jab Jones Wil ko pranghatak tarike se ghayal kar deta hai, Spero iski bajay Dil par waar karne men Wil kee madad karta hai, is tarah Jones ko maar deta hai aur Wil ko Flying Dachman ka naya kaptaan bana deta hai."
886,"अपने बेटे को दु:ख से उबारने में मदद के लिए उत्सुक, बैरेट की मां ने उनके बैंड, द मोट्टोज़ को अपने सामने वाले कमरे में प्रदर्शन के लिए प्रोत्साहित किया।","apane bete ko duhkh se ubaarane mein madad ke liye utsuk, Barrette ki maa ne unake band, the mottoz ko apane saamane vaale kamare mein pradarshan ke lie protsaahit kiya."
887,आजादी के आस पास - डा० जगदीश व्योम,ajadi ke aas paas - dr. jagadish vyom
888,"सूवा, सूवा जिला और केन्द्रीय प्रभाग का प्रशासनिक केन्द्र भी है।","Suvaa, Suvaa zila aur kendriya prabhag ka prashasanik kendra bhi hai."
889,"यह मुख्य रूप से खुले जंगल या खेतों में पाए जाते हैं जहां उन्हें चारे के लिए बेरीज, अनाज मिल जाता है लेकिन यह सांपों, छिपकलियों और चूहे एवं गिलहरी वगैरह को भी खाते हैं।","yah mukhya rup se khule jungle ya kheto me pae jate hai jaha unhe chare ke lie berij, anaj mil jata hai lekin yah sanpo, chipkaliyo aur chuhe evam gilhairi vagairah ko bhi khate hai."
890,उनकी मृत्यु बम परिक्षण के दौरान दुर्घटना में हुई।,Unki mrutyu bam parikshan ke dauran durghatna men hui.
891,"इसका आवास क्षेत्र गंगा, यमुना और सिंधु नदियों के दक्षिण से लेकर पूरे दक्षिण भारत तक फैला हुआ है।","iska aavas kshetra ganga, yamuna aur sindhu nadiyo ke dakshin se lekar pure dakshin bharat tak faila hua hai."
892,स्तेपी,Stepee
893,"इस मतवाले, जिनको पाश्चात्य देशों में ""पैन ऐनथीस्ट"" कहते हैं, यह मानते हैं कि जगत् में भगवान की परिसमाप्ति नहीं होती।","is matvale, jinko paschatya desho me ""pan aenthist"" kehte hai, yah mante hai ki jagat me bhagavan ki parisamapti nahi hoti."
894,मलकाणी सिन्धी भाषा के विख्यात साहित्यकार हैं।,Malkani Sindhi Bhash ke vikhyat Sahityakar hain.
895,निगलने में कष्ट इसका प्रथम लक्षण है।,nigalne me kasht iska pratham lakshan hai.
